time,B,C,A
3.240849,1,2,99
6.172605,2,2,98
7.391363,3,2,97
17.125087,4,2,96
25.564932,5,2,95
26.665477,6,2,94
31.075834,7,2,93
32.032100,8,2,92
35.608712,9,2,91
46.237286,10,2,90
48.688122,11,2,89
60.393623,12,2,88
62.096839,13,2,87
62.098409,14,2,86
63.932817,15,2,85
68.308003,16,2,84
76.108570,17,2,83
78.397464,18,2,82
84.881239,19,2,81
92.755793,20,2,80
104.211193,21,2,79
107.872287,22,2,78
115.086222,23,2,77
115.983027,24,2,76
119.552229,25,2,75
123.735821,26,2,74
136.959646,27,2,73
140.889607,28,2,72
143.303156,29,2,71
149.062429,30,2,70
151.017764,31,2,69
153.769372,32,2,68
159.605543,33,2,67
160.848137,34,2,66
172.647217,35,2,65
179.563538,36,2,64
181.541556,37,2,63
182.380999,38,2,62
185.781855,39,2,61
202.755840,40,2,60
205.293552,41,2,59
206.890180,42,2,58
215.616390,43,2,57
221.959739,44,2,56
226.094544,45,2,55
228.026677,46,2,54
228.058082,47,2,53
229.172818,48,2,52
236.546995,49,2,51
280.799043,50,2,50
284.089074,51,2,49
294.856304,52,2,48
306.274658,53,2,47
317.354511,54,2,46
325.526061,55,2,45
335.195670,56,2,44
335.491649,57,2,43
335.959108,58,2,42
337.148495,59,2,41
344.751492,60,2,40
352.158085,61,2,39
355.015846,62,2,38
387.883327,63,2,37
396.892897,64,2,36
397.632747,65,2,35
404.026572,66,2,34
419.447497,67,2,33
463.736620,68,2,32
470.251607,69,2,31
477.693635,70,2,30
492.043557,71,2,29
502.380643,72,2,28
503.765696,73,2,27
564.788689,74,2,26
578.792030,75,2,25
630.163444,76,2,24
630.732881,77,2,23
688.590177,78,2,22
691.672627,79,2,21
691.784794,80,2,20
699.987968,81,2,19
709.873775,82,2,18
719.554419,83,2,17
773.207369,84,2,16
800.720014,85,2,15
826.031637,86,2,14
887.641161,87,2,13
892.380535,88,2,12
900.982414,89,2,11
908.258027,90,2,10
947.855313,91,2,9
972.536358,92,2,8
1054.369396,93,2,7
1160.589146,94,2,6
1244.462164,95,2,5
1280.460201,96,2,4
1425.267600,97,2,3
2050.151095,98,2,2
