time,R,H,I,E,S
0.049700,0,0,10,134,9856
0.054799,0,0,11,133,9856
0.097472,0,0,12,132,9856
0.177840,0,0,13,131,9856
0.196314,0,0,14,130,9856
0.196891,0,0,15,129,9856
0.291107,0,0,16,128,9856
0.298840,0,0,17,127,9856
0.361185,0,0,18,126,9856
0.392976,0,0,19,125,9856
0.431341,0,0,20,124,9856
0.438207,0,0,20,125,9855
0.452640,1,0,19,125,9855
0.458589,1,0,20,124,9855
0.492846,2,0,19,124,9855
0.506806,3,0,18,124,9855
0.544671,3,0,18,125,9854
0.598862,3,0,19,124,9854
0.815920,3,0,19,125,9853
0.842138,4,0,18,125,9853
0.851987,4,0,19,124,9853
0.873348,4,0,19,125,9852
0.885139,4,0,20,124,9852
0.891875,4,0,20,125,9851
0.903946,4,0,20,126,9850
0.945819,4,0,21,125,9850
0.982569,4,0,22,124,9850
1.049111,4,0,22,125,9849
1.061733,4,0,23,124,9849
1.079929,4,0,23,125,9848
1.112671,4,0,24,124,9848
1.113756,4,0,25,123,9848
1.134752,5,0,24,123,9848
1.190820,5,0,25,122,9848
1.196684,5,0,26,121,9848
1.197262,5,0,27,120,9848
1.235628,5,0,28,119,9848
1.243918,5,0,29,118,9848
1.267227,6,0,28,118,9848
1.274350,6,0,29,117,9848
1.277643,6,0,30,116,9848
1.291825,7,0,29,116,9848
1.303886,7,0,30,115,9848
1.339972,7,0,30,116,9847
1.350582,7,0,30,117,9846
1.355433,7,0,30,118,9845
1.393376,7,0,31,117,9845
1.396923,7,0,32,116,9845
1.424461,7,0,32,117,9844
1.492021,7,0,32,118,9843
1.492892,7,0,33,117,9843
1.498913,7,0,33,118,9842
1.533965,7,0,33,119,9841
1.571577,7,0,33,120,9840
1.587932,7,0,33,121,9839
1.598205,7,0,34,120,9839
1.619477,7,0,34,121,9838
1.619608,7,0,34,122,9837
1.626548,8,0,33,122,9837
1.650048,8,0,34,121,9837
1.660058,8,0,34,122,9836
1.692858,8,0,35,121,9836
1.700723,8,0,36,120,9836
1.717133,8,0,37,119,9836
1.718978,8,0,37,120,9835
1.754804,8,0,38,119,9835
1.773446,8,0,38,120,9834
1.781981,8,0,39,119,9834
1.782119,8,0,39,120,9833
1.795790,8,0,39,121,9832
1.797876,8,0,39,122,9831
1.804808,8,0,39,123,9830
1.818477,8,0,39,124,9829
1.821712,8,0,40,123,9829
1.825146,9,0,39,123,9829
1.834252,9,0,39,124,9828
1.838192,9,0,40,123,9828
1.846209,9,0,40,124,9827
1.858044,9,0,41,123,9827
1.862867,9,0,41,124,9826
1.862930,9,0,42,123,9826
1.863918,9,0,43,122,9826
1.874678,9,0,44,121,9826
1.890651,10,0,43,121,9826
1.896351,10,0,43,122,9825
1.904657,11,0,42,122,9825
1.928576,12,0,41,122,9825
1.938305,13,0,40,122,9825
1.949535,13,0,40,123,9824
1.962271,13,0,40,124,9823
1.974996,13,0,41,123,9823
1.994605,13,0,42,122,9823
2.002530,13,0,42,123,9822
2.004019,13,0,42,124,9821
2.008257,13,0,42,125,9820
2.026624,14,0,41,125,9820
2.038675,15,0,40,125,9820
2.070281,15,0,41,124,9820
2.073780,15,0,41,125,9819
2.085118,15,0,41,126,9818
2.098869,15,0,41,127,9817
2.104302,15,0,41,128,9816
2.121779,16,0,40,128,9816
2.126087,16,0,40,129,9815
2.127136,16,0,40,130,9814
2.151945,16,0,41,129,9814
2.158102,16,0,42,128,9814
2.175767,16,0,43,127,9814
2.185038,16,0,43,128,9813
2.215830,16,0,44,127,9813
2.227819,17,0,43,127,9813
2.246329,17,0,44,126,9813
2.260597,18,0,43,126,9813
2.303400,18,0,43,127,9812
2.305302,19,0,42,127,9812
2.305725,20,0,41,127,9812
2.315452,20,0,42,126,9812
2.315984,20,0,42,127,9811
2.325731,20,0,42,128,9810
2.365042,20,0,43,127,9810
2.379776,21,0,42,127,9810
2.388621,21,0,42,128,9809
2.394509,21,0,42,129,9808
2.400895,22,0,41,129,9808
2.408203,22,0,41,130,9807
2.487070,23,0,40,130,9807
2.497409,23,0,41,129,9807
2.500267,23,0,42,128,9807
2.506036,23,0,42,129,9806
2.548361,23,0,42,130,9805
2.557779,23,0,42,131,9804
2.571786,23,0,43,130,9804
2.573011,23,0,44,129,9804
2.596354,23,0,44,130,9803
2.631573,24,0,43,130,9803
2.637446,25,0,42,130,9803
2.661737,25,0,43,129,9803
2.664535,26,0,42,129,9803
2.691481,27,0,41,129,9803
2.704091,27,0,42,128,9803
2.711727,28,0,41,128,9803
2.712802,29,0,40,128,9803
2.721383,29,0,40,129,9802
2.732125,29,0,40,130,9801
2.746009,29,0,41,129,9801
2.753139,30,0,40,129,9801
2.760015,31,0,39,129,9801
2.790839,31,0,39,130,9800
2.796255,31,0,40,129,9800
2.801997,31,0,41,128,9800
2.835623,31,0,42,127,9800
2.839747,31,0,42,128,9799
2.861010,31,0,42,129,9798
2.870855,31,0,42,130,9797
